Luminosity,GlobalTemperature,WhitePopulation,BlackPopulation
1.545,11.979917878517073,837,0
1.5425,11.876090697775723,837,0
1.54,11.704893825584424,839,0
1.5375,11.7057533287344,835,0
1.535,11.53289037369478,838,0
1.5325,11.39225694255278,838,0
1.53,11.268763515630598,838,0
1.5275,11.182636439732073,837,0
1.525,11.07961302849041,837,0
1.5225,10.860446658987758,840,0
1.52,10.768107871823503,838,0
1.5175,10.696483587947377,837,0
1.515,10.68386342301511,835,0
1.5125,10.569576037620429,836,0
1.51,10.412976752218984,837,0
1.5075,10.204172344621732,839,0
1.505,10.011753621814599,840,0
1.5025,10.003370095229275,836,0
1.5,9.901599081090211,837,0
1.4975,9.982344133484803,832,0
1.495,10.025889692736262,830,0
1.4925,9.726962976589387,837,0
1.49,9.541791200564692,836,0
1.4875,9.470384635078762,834,0
1.485,9.346267601048662,835,0
1.4825,9.192459112301709,836,0
1.48,9.13438841607355,834,0
1.4775,9.066354059474104,833,0
1.475,8.938943678570912,834,0
1.4725,9.032482728103872,828,0
1.47,8.71942161331225,836,0
1.4675,8.614682123145599,833,0
1.465,8.656126171093865,829,0
1.4625,8.542908530707743,831,0
1.46,8.415841585717788,831,0
1.4575,8.106030334166647,836,0
1.455,7.819219145783327,838,0
1.4525,8.027403805814426,827,0
1.45,7.924620738836751,831,0
1.4475,7.849699249976223,830,0
1.445,7.842154905532085,827,0
1.4425,8.205538478100088,816,0
1.44,7.86514078723665,828,0
1.4375,7.771819027910449,824,0
1.435,7.489354280881561,829,0
1.4325,7.542507856880369,822,0
1.43,7.583779775334834,820,0
1.4275,7.5969194537194635,818,0
1.425,7.193487020693338,827,0
1.4225,7.163619065071881,821,0
1.42,6.926581465065425,826,0
1.4175,6.933963746380058,821,0
1.415,7.13196930747053,814,0
1.4125,7.212691909281919,812,0
1.41,6.69556520872501,826,0
1.4075,6.512718326330326,822,0
1.405,6.444204808394614,819,0
1.4025,6.470599530681746,816,0
1.4,6.324015252660588,819,0
1.3975,6.341124900876725,815,0
1.395,6.402885068044146,812,0
1.3925,6.028235722372948,821,0
1.39,5.713698781950295,823,0
1.3875,5.889531367722434,812,0
1.385,5.881775950452207,813,0
1.3825,5.880864256220904,811,0
1.38,5.815038533496825,811,0
1.3775,6.1757635967635,799,0
1.375,6.216307360685821,801,0
1.3725,5.899698973308475,808,0
1.37,5.461154885778556,814,0
1.3675,5.329445994328585,810,0
1.365,5.374019722995832,805,0
1.3625,5.611478556666844,797,0
1.36,5.326009505324478,806,0
1.3575,5.254957485817131,802,0
1.355,5.502494048322259,793,0
1.3525,5.27223067082941,801,0
1.35,5.316457602150623,795,0
1.3475,5.232218587191515,796,0
1.345,4.8713534500035145,803,0
1.3425,4.465102107845099,807,0
1.34,4.473540560056467,799,0
1.3375,5.2235929467925,777,0
1.335,5.35173948900596,782,0
1.3325,5.2943368272615405,784,0
1.33,4.9916469997714215,790,0
1.3275,4.501550662255818,797,0
1.325,4.063126409867213,801,0
1.3225,4.105209137841484,792,0
1.32,4.3859108130125355,783,0
1.3175,4.194491568871006,790,0
1.315,4.114318854979928,788,0
1.3125,4.271880028417202,781,0
1.31,4.585332998002983,773,0
1.3075,4.356380356099952,781,0
1.305,4.009563140974773,785,0
1.3025,3.542560252801082,791,0
1.3,3.250328155094929,791,0
1.2975,3.8500488732020455,769,0
1.295,4.296686731461002,763,0
1.2925,3.9762659944648493,776,0
1.29,3.7394855233845297,776,0
1.2875,3.549386850748634,776,0
1.285,3.6844849294617426,767,0
1.2825,3.9695934225907177,759,0
1.28,3.9548547129185656,762,0
1.2775,3.25670810650743,779,0
1.275,2.666221203859903,784,0
1.2725,2.7105435762463763,773,0
1.27,3.083996201339818,761,0
1.2675,3.786850566877981,745,0
1.265,4.274988358469788,740,0
1.2625,4.190606041016585,747,0
1.26,3.6763830678467877,758,0
1.2575,2.989322897318148,768,0
1.255,2.8743814368952605,760,0
1.2525,3.158506177022746,749,0
1.25,3.4816430114113577,742,0
1.2475,3.316842442880744,749,0
1.245,3.6747581631315875,735,0
1.2425,4.048317703523839,728,0
1.24,3.7182313653797645,740,0
1.2375,2.8273012623226808,757,0
1.235,1.3287987962384016,783,0
1.2325,0.5692932909886868,781,0
1.23,0.6502640355710463,767,0
1.2275,1.5984452438035135,741,0
1.225,2.3954618360697535,731,0
1.2225,2.8627991738275935,728,0
1.22,2.9928843941369223,728,0
1.2175,2.9814084282128723,726,0
1.215,2.9994441299289765,723,0
1.2125,2.733093744235309,728,0
1.21,2.119591288997272,739,0
1.2075,1.578757531109854,744,0
1.205,1.4383813173377136,739,0
1.2025,1.5959457376854362,731,0
1.2,2.2740942104944857,713,0
1.1975,2.6116564094602337,711,0
1.195,2.624612420108629,713,0
1.1925,2.5107196269470116,714,0
1.19,2.290581997113595,717,0
1.1875,1.8757027270830036,724,0
1.185,2.0766223584132537,711,0
1.1825,2.383475291052575,704,0
1.18,2.5430790305963002,702,0
1.1775,2.53491708699533,702,0
1.175,2.95836536619565,689,0
1.175,3.535970620550663,677,0
1.175,3.6123433334218578,683,0
1.175,3.1011649070221825,697,0
1.175,1.2820076285498356,738,0
1.175,-0.16528630111228734,752,0
